sample_name	mtx_study_accession	mtx_run_accession	mgx_study_accession	mgx_run_accession	sample_type
EM10_W3D2	PRJNA797778	SRR17858257	PRJNA797778	SRR17635816	human_vagina
EM10_W1D7	PRJNA797778	SRR17858258	PRJNA797778	SRR17635817	human_vagina
EM09_W9D6	PRJNA797778	SRR17858259	PRJNA797778	SRR17635819	human_vagina
EM09_W8D5	PRJNA797778	SRR17858260	PRJNA797778	SRR17635820	human_vagina
EM09_W6D7	PRJNA797778	SRR17858261	PRJNA797778	SRR17635459	human_vagina
UAB015_W3D1	PRJNA797778	SRR17858262	PRJNA797778	SRR17635479	human_vagina
AYAC05_W9D7	PRJNA797778	SRR17858263	PRJNA797778	SRR17635684	human_vagina
AYAC05_W7D7	PRJNA797778	SRR17858264	PRJNA797778	SRR17635695	human_vagina
AYAC03_W9D7	PRJNA797778	SRR17858265	PRJNA797778	SRR17635465	human_vagina
AYAC03_W8D6	PRJNA797778	SRR17858266	PRJNA797778	SRR17635476	human_vagina
AYAC09_W3D4	PRJNA797778	SRR17858267	PRJNA797778	SRR17635758	human_vagina
AYAC09_W1D7	PRJNA797778	SRR17858268	PRJNA797778	SRR17635673	human_vagina
AYAC05_W5D5	PRJNA797778	SRR17858269	PRJNA797778	SRR17635770	human_vagina
AYAC05_W3D7	PRJNA797778	SRR17858270	PRJNA797778	SRR17635781	human_vagina
AYAC05_W1D6	PRJNA797778	SRR17858271	PRJNA797778	SRR17635792	human_vagina
EM09_W4D4	PRJNA797778	SRR17858272	PRJNA797778	SRR17635462	human_vagina
UAB015_W1D5	PRJNA797778	SRR17858273	PRJNA797778	SRR17635480	human_vagina
EM09_W2D3	PRJNA797778	SRR17858274	PRJNA797778	SRR17635611	human_vagina
EM04_W1D7	PRJNA797778	SRR17858275	PRJNA797778	SRR17635722	human_vagina
UAB129_W10D2	PRJNA797778	SRR17858276	PRJNA797778	SRR17635577	human_vagina
UAB129_W7D7	PRJNA797778	SRR17858277	PRJNA797778	SRR17635578	human_vagina
UAB129_W5D7	PRJNA797778	SRR17858278	PRJNA797778	SRR17635579	human_vagina
UAB129_W3D3	PRJNA797778	SRR17858279	PRJNA797778	SRR17635580	human_vagina
UAB129_W1D7	PRJNA797778	SRR17858280	PRJNA797778	SRR17635581	human_vagina
UAB122_W9D6	PRJNA797778	SRR17858281	PRJNA797778	SRR17635582	human_vagina
UAB122_W6D5	PRJNA797778	SRR17858282	PRJNA797778	SRR17635583	human_vagina
UAB122_W4D7	PRJNA797778	SRR17858283	PRJNA797778	SRR17635584	human_vagina
UAB011_W3D6	PRJNA797778	SRR17858284	PRJNA797778	SRR17635484	human_vagina
UAB122_W3D4	PRJNA797778	SRR17858285	PRJNA797778	SRR17635585	human_vagina
UAB122_W1D7	PRJNA797778	SRR17858286	PRJNA797778	SRR17635586	human_vagina
UAB119_W9D7	PRJNA797778	SRR17858287	PRJNA797778	SRR17635588	human_vagina
UAB119_W7D7	PRJNA797778	SRR17858288	PRJNA797778	SRR17635589	human_vagina
UAB119_W5D7	PRJNA797778	SRR17858289	PRJNA797778	SRR17635590	human_vagina
UAB119_W3D7	PRJNA797778	SRR17858290	PRJNA797778	SRR17635591	human_vagina
UAB119_W1D7	PRJNA797778	SRR17858291	PRJNA797778	SRR17635592	human_vagina
UAB117_W9D6	PRJNA797778	SRR17858292	PRJNA797778	SRR17635731	human_vagina
UAB117_W8D1	PRJNA797778	SRR17858293	PRJNA797778	SRR17635732	human_vagina
UAB117_W5D6	PRJNA797778	SRR17858294	PRJNA797778	SRR17635733	human_vagina
UAB011_W1D7	PRJNA797778	SRR17858295	PRJNA797778	SRR17635485	human_vagina
UAB117_W3D6	PRJNA797778	SRR17858296	PRJNA797778	SRR17635734	human_vagina
UAB117_W1D6	PRJNA797778	SRR17858297	PRJNA797778	SRR17635735	human_vagina
UAB116_W9D6	PRJNA797778	SRR17858298	PRJNA797778	SRR17635737	human_vagina
UAB116_W6D7	PRJNA797778	SRR17858299	PRJNA797778	SRR17635738	human_vagina
UAB116_W4D6	PRJNA797778	SRR17858300	PRJNA797778	SRR17635739	human_vagina
UAB116_W1D7	PRJNA797778	SRR17858301	PRJNA797778	SRR17635741	human_vagina
UAB110_W10D4	PRJNA797778	SRR17858302	PRJNA797778	SRR17635742	human_vagina
UAB110_W7D7	PRJNA797778	SRR17858303	PRJNA797778	SRR17635743	human_vagina
UAB110_W6D2	PRJNA797778	SRR17858304	PRJNA797778	SRR17635744	human_vagina
UAB110_W3D7	PRJNA797778	SRR17858305	PRJNA797778	SRR17635745	human_vagina
UAB010_W5D6	PRJNA797778	SRR17858306	PRJNA797778	SRR17635490	human_vagina
UAB110_W1D7	PRJNA797778	SRR17858307	PRJNA797778	SRR17635746	human_vagina
UAB106_W9D7	PRJNA797778	SRR17858308	PRJNA797778	SRR17635748	human_vagina
UAB106_W7D7	PRJNA797778	SRR17858309	PRJNA797778	SRR17635749	human_vagina
UAB106_W5D4	PRJNA797778	SRR17858310	PRJNA797778	SRR17635750	human_vagina
UAB106_W3D7	PRJNA797778	SRR17858311	PRJNA797778	SRR17635751	human_vagina
UAB106_W1D7	PRJNA797778	SRR17858312	PRJNA797778	SRR17635752	human_vagina
UAB096_W9D7	PRJNA797778	SRR17858313	PRJNA797778	SRR17635753	human_vagina
UAB096_W7D3	PRJNA797778	SRR17858314	PRJNA797778	SRR17635754	human_vagina
UAB096_W5D3	PRJNA797778	SRR17858315	PRJNA797778	SRR17635755	human_vagina
UAB096_W3D3	PRJNA797778	SRR17858316	PRJNA797778	SRR17635756	human_vagina
UAB010_W3D1	PRJNA797778	SRR17858317	PRJNA797778	SRR17635491	human_vagina
UAB096_W1D5	PRJNA797778	SRR17858318	PRJNA797778	SRR17635757	human_vagina
UAB093_W9D6	PRJNA797778	SRR17858319	PRJNA797778	SRR17635759	human_vagina
UAB093_W7D7	PRJNA797778	SRR17858320	PRJNA797778	SRR17635760	human_vagina
UAB093_W5D7	PRJNA797778	SRR17858321	PRJNA797778	SRR17635761	human_vagina
UAB093_W4D2	PRJNA797778	SRR17858322	PRJNA797778	SRR17635762	human_vagina
UAB093_W1D7	PRJNA797778	SRR17858323	PRJNA797778	SRR17635667	human_vagina
UAB088_W10D1	PRJNA797778	SRR17858324	PRJNA797778	SRR17635668	human_vagina
UAB088_W7D6	PRJNA797778	SRR17858325	PRJNA797778	SRR17635669	human_vagina
UAB088_W6D1	PRJNA797778	SRR17858326	PRJNA797778	SRR17635670	human_vagina
UAB088_W4D1	PRJNA797778	SRR17858327	PRJNA797778	SRR17635671	human_vagina
UAB007_W1D7	PRJNA797778	SRR17858328	PRJNA797778	SRR17635795	human_vagina
AYAC02_W1D7	PRJNA797778	SRR17858329	PRJNA797778	SRR17635794	human_vagina
EM04_W3D7	PRJNA797778	SRR17858330	PRJNA797778	SRR17635711	human_vagina
MV_FEI4_t2Q15	PRJNA339914	SRR4100706	PRJNA339914	SRR4052039	human_gut_microbiome
MV_FEI5_t3Q15	PRJNA339914	SRR4100707	PRJNA339914	SRR4052042	human_gut_microbiome
MV_FEM4_t2Q15	PRJNA339914	SRR4100708	PRJNA339914	SRR4052025	human_gut_microbiome
MV_FEM5_t3Q15	PRJNA339914	SRR4100709	PRJNA339914	SRR4052028	human_gut_microbiome
M1	PRJEB33889	ERR3473664	PRJEB33889	ERR3473656	mouse_cecum
M2	PRJEB33889	ERR3473665	PRJEB33889	ERR3473657	mouse_cecum
M3	PRJEB33889	ERR3473666	PRJEB33889	ERR3473658	mouse_cecum
M4	PRJEB33889	ERR3473667	PRJEB33889	ERR3473659	mouse_cecum
M5	PRJEB33889	ERR3473668	PRJEB33889	ERR3473660	mouse_cecum
M6	PRJEB33889	ERR3473669	PRJEB33889	ERR3473661	mouse_cecum
M7	PRJEB33889	ERR3473670	PRJEB33889	ERR3473662	mouse_cecum
M8	PRJEB33889	ERR3473671	PRJEB33889	ERR3473663	mouse_cecum
ad_supplemented_with_nitrogen_data_2	PRJNA698464	SRR13618127	PRJNA698464	SRR13618123	bioreactor
ad_supplemented_with_nitrogen_data_1	PRJNA698464	SRR13618128	PRJNA698464	SRR13618124	bioreactor
ad_supplemented_with_hydrogen_data_2	PRJNA698464	SRR13618129	PRJNA698464	SRR13618125	bioreactor
ad_supplemented_with_hydrogen_data_1	PRJNA698464	SRR13618130	PRJNA698464	SRR13618126	bioreactor
X4074	PRJNA396840	SRR5892181	PRJNA396840	SRR5892217	human_oral
X4080	PRJNA396840	SRR5892182	PRJNA396840	SRR5892216	human_oral
X4068	PRJNA396840	SRR5892183	PRJNA396840	SRR5892215	human_oral
X4072	PRJNA396840	SRR5892184	PRJNA396840	SRR5892214	human_oral
X4060	PRJNA396840	SRR5892185	PRJNA396840	SRR5892213	human_oral
X4064	PRJNA396840	SRR5892186	PRJNA396840	SRR5892212	human_oral
X4050	PRJNA396840	SRR5892187	PRJNA396840	SRR5892211	human_oral
X4056	PRJNA396840	SRR5892188	PRJNA396840	SRR5892210	human_oral
X4108	PRJNA396840	SRR5892189	PRJNA396840	SRR5892233	human_oral
X4082	PRJNA396840	SRR5892190	PRJNA396840	SRR5892209	human_oral
X4088	PRJNA396840	SRR5892191	PRJNA396840	SRR5892208	human_oral
X4124	PRJNA396840	SRR5892192	PRJNA396840	SRR5892236	human_oral
X4120	PRJNA396840	SRR5892195	PRJNA396840	SRR5892235	human_oral
X4096	PRJNA396840	SRR5892200	PRJNA396840	SRR5892238	human_oral
X4092	PRJNA396840	SRR5892204	PRJNA396840	SRR5892237	human_oral
X4104	PRJNA396840	SRR5892205	PRJNA396840	SRR5892240	human_oral
X4100	PRJNA396840	SRR5892207	PRJNA396840	SRR5892239	human_oral
X4024	PRJNA396840	SRR5892218	PRJNA396840	SRR5892196	human_oral
X4020	PRJNA396840	SRR5892219	PRJNA396840	SRR5892197	human_oral
X4014	PRJNA396840	SRR5892220	PRJNA396840	SRR5892198	human_oral
X4012	PRJNA396840	SRR5892221	PRJNA396840	SRR5892199	human_oral
X4040	PRJNA396840	SRR5892222	PRJNA396840	SRR5892206	human_oral
X4036	PRJNA396840	SRR5892223	PRJNA396840	SRR5892201	human_oral
X4032	PRJNA396840	SRR5892224	PRJNA396840	SRR5892202	human_oral
X4028	PRJNA396840	SRR5892225	PRJNA396840	SRR5892203	human_oral
X4048	PRJNA396840	SRR5892226	PRJNA396840	SRR5892193	human_oral
X4044	PRJNA396840	SRR5892227	PRJNA396840	SRR5892194	human_oral
X4132	PRJNA396840	SRR5892228	PRJNA396840	SRR5892232	human_oral
X4128	PRJNA396840	SRR5892229	PRJNA396840	SRR5892231	human_oral
X4116	PRJNA396840	SRR5892230	PRJNA396840	SRR5892234	human_oral
L2	PRJNA492158	SRR7880350	PRJNA492158	SRR7880198	human_gut
L3	PRJNA492158	SRR7880351	PRJNA492158	SRR7880201	human_gut
L5	PRJNA492158	SRR7880352	PRJNA492158	SRR7880203	human_gut
L6	PRJNA492158	SRR7880353	PRJNA492158	SRR7880202	human_gut
L7	PRJNA492158	SRR7880354	PRJNA492158	SRR7880205	human_gut
L8	PRJNA492158	SRR7880355	PRJNA492158	SRR7880204	human_gut
L9	PRJNA492158	SRR7880356	PRJNA492158	SRR7880207	human_gut
L11	PRJNA492158	SRR7880357	PRJNA492158	SRR7880227	human_gut
L12	PRJNA492158	SRR7880358	PRJNA492158	SRR7880226	human_gut
O1	PRJNA492158	SRR7880359	PRJNA492158	SRR7880225	human_gut
V6	PRJNA492158	SRR7880360	PRJNA492158	SRR7880217	human_gut
V5	PRJNA492158	SRR7880361	PRJNA492158	SRR7880216	human_gut
V8	PRJNA492158	SRR7880362	PRJNA492158	SRR7880218	human_gut
V7	PRJNA492158	SRR7880363	PRJNA492158	SRR7880219	human_gut
V11	PRJNA492158	SRR7880364	PRJNA492158	SRR7880223	human_gut
V9	PRJNA492158	SRR7880365	PRJNA492158	SRR7880197	human_gut
O6	PRJNA492158	SRR7880366	PRJNA492158	SRR7880228	human_gut
O8	PRJNA492158	SRR7880367	PRJNA492158	SRR7880220	human_gut
O9	PRJNA492158	SRR7880368	PRJNA492158	SRR7880210	human_gut
O10	PRJNA492158	SRR7880369	PRJNA492158	SRR7880211	human_gut
O2	PRJNA492158	SRR7880370	PRJNA492158	SRR7880224	human_gut
O3	PRJNA492158	SRR7880371	PRJNA492158	SRR7880231	human_gut
O4	PRJNA492158	SRR7880372	PRJNA492158	SRR7880230	human_gut
O5	PRJNA492158	SRR7880373	PRJNA492158	SRR7880229	human_gut
O11	PRJNA492158	SRR7880374	PRJNA492158	SRR7880208	human_gut
O12	PRJNA492158	SRR7880375	PRJNA492158	SRR7880209	human_gut
3m_Station6_GOM	PRJNA278075	SRR1918203	PRJNA278075	SRR2001210	ocean
CRF2_7	PRJEB38017	ERR4077213	PRJEB38017	ERR4073751	cocoa_box_fermentation
CRF2_20	PRJEB38017	ERR4077214	PRJEB38017	ERR4073752	cocoa_box_fermentation
CRF2_68	PRJEB38017	ERR4077215	PRJEB38017	ERR4073754	cocoa_box_fermentation
HP_AsLow	PRJNA616041	SRR11450577	PRJNA616041	SRR11450583	paddy_soil
SKS_AsHig	PRJNA616041	SRR11450578	PRJNA616041	SRR11450584	paddy_soil
CZ_AsHig	PRJNA616041	SRR11450579	PRJNA616041	SRR11450587	paddy_soil
CL_AsHig	PRJNA616041	SRR11450580	PRJNA616041	SRR11450588	paddy_soil
YCP_AsLow	PRJNA616041	SRR11450585	PRJNA616041	SRR11450581	paddy_soil
LH_AsLow	PRJNA616041	SRR11450586	PRJNA616041	SRR11450582	paddy_soil
GZ-C-35-D5	PRJNA395125	SRR5868086	PRJNA393770	SRR5892338	bioreactor
GZ-C-35-Mid	PRJNA395125	SRR5868087	PRJNA393770	SRR5892352	bioreactor
SWH-C-35-D5	PRJNA395125	SRR5868115	PRJNA393770	SRR5894891	bioreactor
SWH-C-35-Mid	PRJNA395125	SRR5868116	PRJNA393770	SRR5894892	bioreactor
GZ-X-35-Mid	PRJNA395125	SRR5868138	PRJNA393770	SRR5894899	bioreactor
SWH-X-35-Mid	PRJNA395125	SRR5868139	PRJNA393770	SRR5894900	bioreactor
SWH-C-55-Mid	PRJNA395125	SRR5868141	PRJNA393770	SRR5894893	bioreactor
AH1	PRJEB12284	ERR1198915	PRJEB12083	ERR1191817	wastewater
AH4	PRJEB12284	ERR1198916	PRJEB12083	ERR1191820	wastewater
AH5	PRJEB12284	ERR1198917	PRJEB12083	ERR1191821	wastewater
AH6	PRJEB12284	ERR1198918	PRJEB12083	ERR1191822	wastewater
DF1	PRJEB12284	ERR1198919	PRJEB12083	ERR1193331	wastewater
DF4	PRJEB12284	ERR1198920	PRJEB12083	ERR1193299	wastewater
DF5	PRJEB12284	ERR1198921	PRJEB12083	ERR1193300	wastewater
DF6	PRJEB12284	ERR1198922	PRJEB12083	ERR1193301	wastewater
BazoSym_LS-ET_5	PRJEB32788	ERR3342479	PRJEB32787	ERR3342499	mussel_gill
BazoSym_LS-ET_4	PRJEB32788	ERR3342480	PRJEB32787	ERR3342500	mussel_gill
BazoSym_LS-MS_3	PRJEB32788	ERR3342481	PRJEB32787	ERR3342501	mussel_gill
BazoSym_LS-MS_2	PRJEB32788	ERR3342482	PRJEB32787	ERR3342502	mussel_gill
BazoSym_LS-MS_1	PRJEB32788	ERR3342483	PRJEB32787	ERR3342503	mussel_gill
BspSym_Li_5	PRJEB32788	ERR3342467	PRJEB32787	ERR3342486	mussel_gill
BspSym_Li_4	PRJEB32788	ERR3342468	PRJEB32787	ERR3342487	mussel_gill
BspSym_Li_3	PRJEB32788	ERR3342469	PRJEB32787	ERR3342488	mussel_gill
BspSym_Li_2	PRJEB32788	ERR3342470	PRJEB32787	ERR3342489	mussel_gill
BspSym_Li_1	PRJEB32788	ERR3342471	PRJEB32787	ERR3342490	mussel_gill
BspSym_Cl_4	PRJEB32788	ERR3342472	PRJEB32787	ERR3342492	mussel_gill
BspSym_Cl_3	PRJEB32788	ERR3342473	PRJEB32787	ERR3342493	mussel_gill
BspSym_Cl_2	PRJEB32788	ERR3342474	PRJEB32787	ERR3342494	mussel_gill
BspSym_Cl_1	PRJEB32788	ERR3342475	PRJEB32787	ERR3342495	mussel_gill
BputSym_Se-AL_3	PRJEB32788	ERR3342476	PRJEB32787	ERR3342496	mussel_gill
BputSym_Se-AL_2	PRJEB32788	ERR3342477	PRJEB32787	ERR3342497	mussel_gill
BputSym_Se-AL_1	PRJEB32788	ERR3342478	PRJEB32787	ERR3342498	mussel_gill
CSM67UC6	PRJNA398089	SRR5949109	PRJNA398089	SRR5936217	human_gut
CSM67UDY	PRJNA398089	SRR5949110	PRJNA398089	SRR5936216	human_gut
HSM67VI9	PRJNA398089	SRR5949111	PRJNA398089	SRR5936212	human_gut
HSM6XRTQ	PRJNA398089	SRR5949112	PRJNA398089	SRR5936211	human_gut
CSM79HHM	PRJNA398089	SRR5949113	PRJNA398089	SRR5946811	human_gut
CSM79HIR	PRJNA398089	SRR5949114	PRJNA398089	SRR5936215	human_gut
CSM79HJO	PRJNA398089	SRR5949115	PRJNA398089	SRR5947089	human_gut
HSM67VEI	PRJNA398089	SRR5949116	PRJNA398089	SRR5936210	human_gut
MSM79H9K	PRJNA398089	SRR5949117	PRJNA398089	SRR5935975	human_gut
MSM79HAH	PRJNA398089	SRR5949118	PRJNA398089	SRR5935976	human_gut
HSM7J4L5	PRJNA398089	SRR5949119	PRJNA398089	SRR5935953	human_gut
MSM79H7E	PRJNA398089	SRR5949120	PRJNA398089	SRR5935950	human_gut
PSM7J17Z	PRJNA398089	SRR5949121	PRJNA398089	SRR5935951	human_gut
PSM7J18G	PRJNA398089	SRR5949122	PRJNA398089	SRR5935952	human_gut
MSM79HDI	PRJNA398089	SRR5949123	PRJNA398089	SRR5935954	human_gut
HSM7J4JH	PRJNA398089	SRR5949124	PRJNA398089	SRR5935955	human_gut
HSM7J4HU	PRJNA398089	SRR5949125	PRJNA398089	SRR5935956	human_gut
PSM7J1CI	PRJNA398089	SRR5949126	PRJNA398089	SRR5935957	human_gut
HSM7CZ36	PRJNA398089	SRR5949127	PRJNA398089	SRR5936016	human_gut
CSM7KOJW	PRJNA398089	SRR5949128	PRJNA398089	SRR5947102	human_gut
MSM79HDM	PRJNA398089	SRR5949129	PRJNA398089	SRR5936018	human_gut
PSM6XBTP	PRJNA398089	SRR5949130	PRJNA398089	SRR5936066	human_gut
MSM79HF9	PRJNA398089	SRR5949131	PRJNA398089	SRR5936064	human_gut
CSM79HQF	PRJNA398089	SRR5949132	PRJNA398089	SRR5936119	human_gut
MSM79H9A	PRJNA398089	SRR5949133	PRJNA398089	SRR5936118	human_gut
HSM7CZ3E	PRJNA398089	SRR5949134	PRJNA398089	SRR5936121	human_gut
CSM79HP4	PRJNA398089	SRR5949135	PRJNA398089	SRR5946645	human_gut
HSM7CYY7	PRJNA398089	SRR5949136	PRJNA398089	SRR5936117	human_gut
CSM79HLC	PRJNA398089	SRR5949137	PRJNA398089	SRR5936176	human_gut
MSM79H5K	PRJNA398089	SRR5949138	PRJNA398089	SRR5936132	human_gut
HSM6XRV8	PRJNA398089	SRR5949139	PRJNA398089	SRR5935785	human_gut
CSM79HIZ	PRJNA398089	SRR5949140	PRJNA398089	SRR5935786	human_gut
CSM79HIB	PRJNA398089	SRR5949141	PRJNA398089	SRR5935794	human_gut
HSM7CZ1A	PRJNA398089	SRR5949142	PRJNA398089	SRR5935798	human_gut
CSM79HIN	PRJNA398089	SRR5949143	PRJNA398089	SRR5935792	human_gut
MSM79H6F	PRJNA398089	SRR5949144	PRJNA398089	SRR5935793	human_gut
HSM6XRVC	PRJNA398089	SRR5949145	PRJNA398089	SRR5936043	human_gut
PSM7J199	PRJNA398089	SRR5949146	PRJNA398089	SRR5936131	human_gut
HSM7CYX6	PRJNA398089	SRR5949147	PRJNA398089	SRR5936134	human_gut
CSM7KORM	PRJNA398089	SRR5949148	PRJNA398089	SRR5950794	human_gut
PSM7J12J	PRJNA398089	SRR5949149	PRJNA398089	SRR5936100	human_gut
ESM5MEBS	PRJNA398089	SRR5949150	PRJNA398089	SRR5935857	human_gut
MSM6J2IE	PRJNA398089	SRR5949151	PRJNA398089	SRR5935858	human_gut
MSM5LLDS	PRJNA398089	SRR5949152	PRJNA398089	SRR5935763	human_gut
CSM7KOJY	PRJNA398089	SRR5949153	PRJNA398089	SRR5946685	human_gut
HSM5FZBZ	PRJNA398089	SRR5949154	PRJNA398089	SRR5946845	human_gut
CSM5FZ4M	PRJNA398089	SRR5949155	PRJNA398089	SRR5935761	human_gut
HSM5MD5B	PRJNA398089	SRR5949156	PRJNA398089	SRR5935768	human_gut
HSM5MD53	PRJNA398089	SRR5949157	PRJNA398089	SRR5947002	human_gut
CSM5MCUO	PRJNA398089	SRR5949158	PRJNA398089	SRR5935859	human_gut
CSM5MCXD	PRJNA398089	SRR5949159	PRJNA398089	SRR5935860	human_gut
PSM6XBS4	PRJNA398089	SRR5949160	PRJNA398089	SRR5935964	human_gut
HSM6XRUN	PRJNA398089	SRR5949161	PRJNA398089	SRR5935816	human_gut
MSM6J2QP	PRJNA398089	SRR5949162	PRJNA398089	SRR5935817	human_gut
CSM67UEW	PRJNA398089	SRR5949163	PRJNA398089	SRR5935962	human_gut
HSM6XRQO	PRJNA398089	SRR5949164	PRJNA398089	SRR5936154	human_gut
HSM67VD4	PRJNA398089	SRR5949165	PRJNA398089	SRR5936160	human_gut
HSM67VI3	PRJNA398089	SRR5949166	PRJNA398089	SRR5936159	human_gut
CSM67UEA	PRJNA398089	SRR5949167	PRJNA398089	SRR5936162	human_gut
HSM67VES	PRJNA398089	SRR5949168	PRJNA398089	SRR5935813	human_gut
HSM6XRTM	PRJNA398089	SRR5949169	PRJNA398089	SRR5935815	human_gut
ESM5MEC5	PRJNA398089	SRR5949170	PRJNA398089	SRR5935758	human_gut
CSM67UAW	PRJNA398089	SRR5949171	PRJNA398089	SRR5935755	human_gut
HSM6XRQU	PRJNA398089	SRR5949172	PRJNA398089	SRR5935901	human_gut
CSM67UBH	PRJNA398089	SRR5949173	PRJNA398089	SRR5935900	human_gut
CSM67UAM	PRJNA398089	SRR5949174	PRJNA398089	SRR5935904	human_gut
CSM67UAA	PRJNA398089	SRR5949175	PRJNA398089	SRR5935903	human_gut
CSM67UDF	PRJNA398089	SRR5949176	PRJNA398089	SRR5935908	human_gut
MSM6J2Q3	PRJNA398089	SRR5949177	PRJNA398089	SRR5935907	human_gut
MSM6J2LL	PRJNA398089	SRR5949178	PRJNA398089	SRR5935899	human_gut
ESM5MEBG	PRJNA398089	SRR5949179	PRJNA398089	SRR5935902	human_gut
MSM6J2PU	PRJNA398089	SRR5949180	PRJNA398089	SRR5935892	human_gut
HSM7CYZV	PRJNA398089	SRR5949181	PRJNA398089	SRR5935891	human_gut
CSM79HKB	PRJNA398089	SRR5949182	PRJNA398089	SRR5935890	human_gut
HSM7CYZJ	PRJNA398089	SRR5949183	PRJNA398089	SRR5935889	human_gut
CSM79HLG	PRJNA398089	SRR5949184	PRJNA398089	SRR5936005	human_gut
CSM79HI7	PRJNA398089	SRR5949185	PRJNA398089	SRR5935894	human_gut
CSM79HIV	PRJNA398089	SRR5949186	PRJNA398089	SRR5935895	human_gut
HSM67VGG	PRJNA398089	SRR5949187	PRJNA398089	SRR5935893	human_gut
MSM6J2MH	PRJNA398089	SRR5949188	PRJNA398089	SRR5935888	human_gut
CSM79HGZ	PRJNA398089	SRR5949189	PRJNA398089	SRR5946660	human_gut
MSM6J2QF	PRJNA398089	SRR5949190	PRJNA398089	SRR5936052	human_gut
CSM79HLA	PRJNA398089	SRR5949191	PRJNA398089	SRR5936051	human_gut
HSM67VHD	PRJNA398089	SRR5949192	PRJNA398089	SRR5936232	human_gut
HSM6XRQ8	PRJNA398089	SRR5949193	PRJNA398089	SRR5936229	human_gut
CSM67UF5	PRJNA398089	SRR5949194	PRJNA398089	SRR5936234	human_gut
MSM6J2RS	PRJNA398089	SRR5949195	PRJNA398089	SRR5936238	human_gut
HSM6XRVM	PRJNA398089	SRR5949196	PRJNA398089	SRR5936226	human_gut
HSM67VEK	PRJNA398089	SRR5949197	PRJNA398089	SRR5936230	human_gut
HSM67VHW	PRJNA398089	SRR5949198	PRJNA398089	SRR5936227	human_gut
HSM67VFR	PRJNA398089	SRR5949199	PRJNA398089	SRR5936228	human_gut
CSM7KONK	PRJNA398089	SRR5949200	PRJNA398089	SRR5950508	human_gut
MSM9VZEK	PRJNA398089	SRR5949201	PRJNA398089	SRR5935847	human_gut
MSM79H8D	PRJNA398089	SRR5949202	PRJNA398089	SRR5935843	human_gut
CSM7KOSV	PRJNA398089	SRR5949203	PRJNA398089	SRR5950509	human_gut
HSM7J4IC	PRJNA398089	SRR5949204	PRJNA398089	SRR5935838	human_gut
CSM7KON8	PRJNA398089	SRR5949205	PRJNA398089	SRR5935837	human_gut
HSM7J4L9	PRJNA398089	SRR5949206	PRJNA398089	SRR5935846	human_gut
HSM7J4IQ	PRJNA398089	SRR5949207	PRJNA398089	SRR5935842	human_gut
HSM7J4MY	PRJNA398089	SRR5949208	PRJNA398089	SRR5935910	human_gut
HSM7J4QT	PRJNA398089	SRR5949209	PRJNA398089	SRR5935844	human_gut
CSM5MCX3	PRJNA398089	SRR5949210	PRJNA398089	SRR5935942	human_gut
CSM7KOKD	PRJNA398089	SRR5949211	PRJNA398089	SRR5950676	human_gut
CSM7KOOH	PRJNA398089	SRR5949212	PRJNA398089	SRR5950642	human_gut
HSM7J4LD	PRJNA398089	SRR5949213	PRJNA398089	SRR5935991	human_gut
HSM7CYY9	PRJNA398089	SRR5949214	PRJNA398089	SRR5935990	human_gut
CSM7KOJO	PRJNA398089	SRR5949215	PRJNA398089	SRR5936062	human_gut
MSM79HDQ	PRJNA398089	SRR5949216	PRJNA398089	SRR5936063	human_gut
MSM79HCP	PRJNA398089	SRR5949217	PRJNA398089	SRR5936056	human_gut
MSM79H9Q	PRJNA398089	SRR5949218	PRJNA398089	SRR5936058	human_gut
PSM7J1BF	PRJNA398089	SRR5949219	PRJNA398089	SRR5935994	human_gut
CSM7KON2	PRJNA398089	SRR5949220	PRJNA398089	SRR5935992	human_gut
HSM7J4HS	PRJNA398089	SRR5949221	PRJNA398089	SRR5935783	human_gut
MSM79H7C	PRJNA398089	SRR5949222	PRJNA398089	SRR5935741	human_gut
HSM7J4LP	PRJNA398089	SRR5949223	PRJNA398089	SRR5935743	human_gut
PSM7J18E	PRJNA398089	SRR5949224	PRJNA398089	SRR5935744	human_gut
HSM7J4I5	PRJNA398089	SRR5949225	PRJNA398089	SRR5935745	human_gut
PSM7J17L	PRJNA398089	SRR5949226	PRJNA398089	SRR5936015	human_gut
MSM79HDG	PRJNA398089	SRR5949227	PRJNA398089	SRR5935750	human_gut
PSM7J17X	PRJNA398089	SRR5949228	PRJNA398089	SRR5935747	human_gut
CSM67UAU	PRJNA398089	SRR5949229	PRJNA398089	SRR5935807	human_gut
HSM6XRQI	PRJNA398089	SRR5949230	PRJNA398089	SRR5935805	human_gut
CSM7KOLE	PRJNA398089	SRR5949231	PRJNA398089	SRR5935967	human_gut
PSM7J16U	PRJNA398089	SRR5949232	PRJNA398089	SRR5935781	human_gut
CSM79HHO	PRJNA398089	SRR5949233	PRJNA398089	SRR5946885	human_gut
HSM67VD6	PRJNA398089	SRR5949234	PRJNA398089	SRR5936073	human_gut
CSM67UB3	PRJNA398089	SRR5949235	PRJNA398089	SRR5936068	human_gut
MSM6J2LB	PRJNA398089	SRR5949236	PRJNA398089	SRR5936069	human_gut
MSM6J2RO	PRJNA398089	SRR5949237	PRJNA398089	SRR5935810	human_gut
CSM79HGP	PRJNA398089	SRR5949238	PRJNA398089	SRR5935808	human_gut
